time,consigne,temperature,tempéraure max_palier,puissance,proportional_coeff,coeff_integral,derivative_coeff,proportionnel,integral,derive
30.25565740000002,-8.0,0,0,-98.38401776151332,12,1200,20,-96.0,-2.384017761513325,0.0
30.558576499999845,-8.0,0,0,-98.40825128949312,12,1200,20,-96.0,-2.4082512894931165,0.0
30.86086639999985,-8.0,0,0,-98.43243448147297,12,1200,20,-96.0,-2.4324344814729644,0.0
31.16280710000001,-8.0,0,0,-98.45658973745284,12,1200,20,-96.0,-2.4565897374528474,0.0
31.465449099999887,-8.0,0,0,-98.48080109743266,12,1200,20,-96.0,-2.4808010974326615,0.0
31.76853219999998,-8.0,0,0,-98.50504774541247,12,1200,20,-96.0,-2.5050477454124636,0.0
32.0712782999999,-8.0,0,0,-98.52926743339228,12,1200,20,-96.0,-2.5292674333922744,0.0
32.374110799999926,-8.0,0,0,-98.55349403337209,12,1200,20,-96.0,-2.5534940333720875,0.0
32.67709530000002,-8.0,0,0,-98.5777327933519,12,1200,20,-96.0,-2.577732793351896,0.0
32.98094999999989,-8.0,0,0,-98.60204116933163,12,1200,20,-96.0,-2.6020411693316285,0.0
33.283609899999874,-8.0,0,0,-98.62625396131145,12,1200,20,-96.0,-2.6262539613114497,0.0
33.58521889999997,-8.0,0,0,-98.65038268129135,12,1200,20,-96.0,-2.6503826812913505,0.0
33.88707550000004,-8.0,0,0,-98.67453120927124,12,1200,20,-96.0,-2.674531209271232,0.0
34.18972629999985,-8.0,0,0,-98.69874327325104,12,1200,20,-96.0,-2.69874327325104,0.0
34.49295979999988,-8.0,0,0,-98.72300195323082,12,1200,20,-96.0,-2.723001953230827,0.0
34.79616369999985,-8.0,0,0,-98.7472582652106,12,1200,20,-96.0,-2.7472582652106112,0.0
35.09840250000002,-8.0,0,0,-98.77143736919048,12,1200,20,-96.0,-2.7714373691904752,0.0
35.401215800000045,-8.0,0,0,-98.79566243317029,12,1200,20,-96.0,-2.79566243317029,0.0
35.7032377999999,-8.0,0,0,-98.81982419315014,12,1200,20,-96.0,-2.819824193150143,0.0
